order_date,region,category,channel,units,unit_price,discount,revenue,customer_satisfaction
2024-02-09,East,Toys,Online,8,532.58,0.123,4260.68,2.0
2024-02-10,South,Apparel,Retail,14,375.75,0.121,5260.5,1.0
2024-02-11,West,Grocery,Partner,8,413.32,0.054,3306.53,4.0
2024-02-12,East,Toys,Partner,9,537.93,0.124,4841.39,1.0
2024-02-13,South,Electronics,Retail,11,339.53,0.236,3734.78,5.0
2024-02-14,West,Electronics,Partner,7,405.79,0.273,2840.53,1.0
2024-02-15,West,Electronics,Partner,10,546.72,0.178,5467.18,2.0
2024-02-16,South,Electronics,Partner,10,351.76,0.09,3517.61,
2024-02-17,North,Electronics,Retail,9,536.62,0.205,4829.54,1.0
2024-02-18,East,Toys,Online,7,540.98,0.222,3786.86,1.0
2024-02-19,North,Grocery,Partner,9,329.09,,2961.77,4.0
2024-02-20,North,Toys,Online,15,427.81,0.248,6417.21,1.0
2024-02-21,North,Toys,Retail,9,715.67,0.022,6441.0,5.0
2024-02-22,West,Toys,Online,14,325.69,0.003,4559.63,3.0
2024-02-23,East,Apparel,Partner,14,182.5,0.037,2555.03,5.0
2024-02-24,East,Apparel,Retail,8,220.72,0.047,1765.79,2.0
2024-02-25,West,Toys,Online,10,504.37,0.264,5043.66,1.0
2024-02-26,South,Apparel,Online,9,403.71,0.127,3633.39,5.0
2024-02-27,East,Electronics,Retail,13,482.36,0.082,6270.66,4.0
2024-02-28,North,Grocery,Retail,5,682.13,,3410.64,5.0
2024-02-29,North,Toys,Partner,12,99.07,0.118,1188.9,2.0
2024-03-01,East,Toys,Online,7,559.39,0.09,3915.73,3.0
2024-03-02,South,Toys,Partner,11,587.37,0.041,6461.1,3.0
2024-03-03,East,Electronics,Retail,11,330.83,0.197,3639.16,3.0
2024-03-04,West,Grocery,Partner,7,443.03,0.041,3101.2,2.0
2024-03-05,East,Toys,Online,13,387.07,0.233,5031.86,2.0
2024-03-06,East,Grocery,Online,9,365.85,0.061,3292.63,4.0
2024-03-07,East,Toys,Online,2,451.06,0.219,902.12,1.0
2024-03-08,South,Toys,Retail,7,571.3,0.242,3999.09,2.0
2024-03-09,North,Home,Partner,13,775.61,0.038,10082.9,2.0
2024-03-10,South,Electronics,Online,13,359.69,0.026,4675.93,1.0
2024-03-11,North,Home,Retail,14,785.76,0.285,11000.63,1.0
2024-03-12,South,Apparel,Online,8,404.27,0.139,3234.15,
2024-03-13,West,Electronics,Partner,5,763.05,0.189,3815.27,1.0
2024-03-14,North,Electronics,Partner,4,486.01,0.007,1944.02,2.0
2024-03-15,North,Grocery,Partner,9,519.66,0.084,4676.93,
2024-03-16,North,Home,Partner,11,554.82,0.152,6103.03,5.0
2024-03-17,North,Home,Retail,7,976.83,0.266,6837.8,1.0
2024-03-18,East,Grocery,Partner,11,627.69,0.081,6904.62,3.0
2024-03-19,East,Home,Online,9,393.91,0.233,3545.19,1.0
2024-03-20,West,Grocery,Partner,9,645.35,0.199,5808.15,3.0
2024-03-21,East,Electronics,Partner,11,445.73,0.035,4902.98,
2024-03-22,South,Toys,Partner,11,341.23,0.088,3753.53,4.0
2024-03-23,West,Home,Retail,11,636.29,0.071,6999.19,3.0
2024-03-24,North,Electronics,Partner,9,504.66,0.133,4541.97,5.0
2024-03-25,North,Toys,Retail,9,541.79,0.191,4876.08,1.0
2024-03-26,North,Grocery,Online,6,502.1,0.13,3012.59,1.0
2024-03-27,East,Electronics,Partner,7,550.49,0.073,3853.41,1.0
2024-03-28,South,Electronics,Online,6,451.0,0.209,2705.98,
2024-03-29,North,Electronics,Online,7,209.45,0.175,1466.18,1.0
2024-03-30,East,Apparel,Retail,11,599.99,0.156,6599.84,1.0
2024-03-31,North,Electronics,Online,6,352.7,0.166,2116.18,2.0
2024-04-01,East,Grocery,Partner,8,283.66,0.067,2269.24,5.0
2024-04-02,South,Home,Retail,10,392.99,0.204,3929.91,5.0
2024-04-03,South,Toys,Online,10,410.08,0.116,4100.78,1.0
2024-04-04,South,Grocery,Partner,8,316.78,0.109,2534.23,5.0
2024-04-05,East,Grocery,Retail,9,624.65,0.045,5621.89,2.0
2024-04-06,South,Home,Online,10,238.94,0.179,2389.39,3.0
2024-04-07,North,Electronics,Partner,8,438.96,0.181,3511.67,2.0
2024-04-08,North,Electronics,Retail,5,412.27,0.102,2061.34,3.0
2024-04-09,West,Grocery,Online,5,493.01,0.258,2465.06,4.0
2024-04-10,West,Electronics,Partner,5,541.83,0.254,2709.15,4.0
2024-04-11,East,Electronics,Retail,17,348.82,0.033,5929.87,3.0
2024-04-12,North,Apparel,Partner,10,608.64,0.209,6086.42,4.0
2024-04-13,West,Toys,Partner,6,509.45,0.118,3056.7,4.0
2024-04-14,West,Home,Retail,11,216.21,0.3,2378.29,1.0
2024-04-15,East,Grocery,Partner,12,206.21,0.068,2474.54,2.0
2024-04-16,South,Home,Online,8,398.52,0.084,3188.17,1.0
2024-04-17,North,Electronics,Online,8,466.85,0.133,3734.84,4.0
2024-04-18,North,Apparel,Retail,8,484.49,0.081,3875.9,3.0
2024-04-19,West,Electronics,Partner,11,495.8,0.208,5453.83,
2024-04-20,South,Grocery,Retail,8,427.07,0.144,3416.54,3.0
2024-04-21,North,Electronics,Retail,10,642.15,0.066,6421.47,2.0
2024-04-22,South,Apparel,Partner,7,266.67,0.152,1866.67,1.0
2024-04-23,East,Toys,Partner,13,324.2,0.267,4214.66,5.0
2024-04-24,North,Home,Partner,10,336.0,0.238,3360.01,2.0
2024-04-25,West,Home,Online,12,543.34,0.15,6520.05,1.0
2024-04-26,West,Home,Partner,8,686.74,0.087,5493.94,2.0
2024-04-27,East,Grocery,Retail,8,435.3,0.054,3482.39,5.0
2024-04-28,South,Apparel,Retail,2,99.8,0.264,199.59,
2024-04-29,East,Grocery,Retail,13,244.4,0.213,3177.21,5.0
2024-04-30,East,Toys,Online,9,375.04,0.172,3375.4,3.0
2024-05-01,East,Home,Online,6,416.34,0.264,2498.04,
2024-05-02,North,Home,Retail,11,438.74,0.037,4826.16,
2024-05-03,South,Electronics,Partner,6,404.63,0.205,2427.78,1.0
2024-05-04,North,Apparel,Partner,6,453.24,0.065,2719.43,3.0
2024-05-05,South,Toys,Online,10,525.92,0.036,5259.21,3.0
2024-05-06,South,Home,Partner,9,318.88,0.14,2869.9,2.0
2024-05-07,North,Apparel,Online,7,370.65,0.116,2594.57,3.0
2024-05-08,North,Home,Partner,8,571.83,0.282,4574.65,
2024-05-09,East,Home,Retail,6,269.65,,1617.92,4.0
2024-05-10,North,Home,Retail,7,558.45,0.244,3909.18,5.0
2024-05-11,West,Grocery,Partner,11,515.38,0.225,5669.21,1.0
2024-05-12,East,Apparel,Retail,10,477.88,0.2,4778.84,3.0
2024-05-13,South,Grocery,Partner,6,590.59,0.276,3543.56,4.0
2024-05-14,East,Home,Retail,15,406.67,0.122,6100.03,1.0
2024-05-15,North,Toys,Partner,8,809.04,0.117,6472.36,2.0
2024-05-16,West,Electronics,Retail,12,466.19,0.048,5594.22,2.0
2024-05-17,South,Electronics,Online,11,246.76,0.083,2714.34,1.0
2024-05-18,West,Home,Partner,8,510.49,0.264,4083.9,5.0
2024-05-19,North,Home,Retail,10,338.56,,3385.63,3.0
2024-05-20,South,Grocery,Retail,9,309.79,0.102,2788.1,4.0
2024-05-21,South,Home,Online,9,447.64,0.065,4028.8,3.0
2024-05-22,West,Toys,Online,9,583.34,0.145,5250.04,5.0
2024-05-23,East,Home,Retail,7,406.67,0.215,2846.72,5.0
2024-05-24,South,Electronics,Online,12,518.49,0.086,6221.86,4.0
2024-05-25,North,Electronics,Partner,8,673.63,0.227,5389.01,2.0
2024-05-26,South,Toys,Partner,8,572.36,0.189,4578.85,3.0
2024-05-27,East,Electronics,Partner,8,579.41,0.236,4635.3,5.0
2024-05-28,South,Toys,Partner,9,563.61,0.075,5072.5,
2024-05-29,North,Apparel,Retail,8,217.88,0.189,1743.04,3.0
2024-05-30,West,Electronics,Online,8,452.31,0.046,3618.51,1.0
2024-05-31,West,Apparel,Retail,4,369.95,0.109,1479.8,
2024-06-01,North,Grocery,Retail,10,517.88,0.217,5178.84,4.0
2024-06-02,East,Home,Partner,9,414.28,,3728.54,2.0
2024-06-03,North,Grocery,Online,11,475.08,0.056,5225.84,3.0
2024-06-04,East,Grocery,Retail,14,782.33,0.258,10952.57,3.0
2024-06-05,North,Home,Retail,12,474.54,0.016,5694.5,1.0
2024-06-06,East,Grocery,Online,16,562.07,0.179,8993.1,5.0
2024-06-07,East,Toys,Online,9,465.16,0.295,4186.44,5.0
2024-06-08,West,Home,Retail,13,511.36,0.159,6647.64,5.0
2024-06-09,North,Electronics,Online,10,500.9,0.24,5009.03,
2024-06-10,West,Home,Online,10,567.25,0.179,5672.49,2.0
2024-06-11,North,Toys,Retail,11,674.8,0.235,7422.76,1.0
2024-06-12,North,Apparel,Online,7,747.11,0.197,5229.76,4.0
2024-06-13,East,Toys,Retail,10,546.44,0.207,5464.43,2.0
2024-06-14,South,Home,Online,5,470.75,0.068,2353.73,5.0
2024-06-15,West,Grocery,Online,9,327.37,0.223,2946.33,5.0
2024-06-16,West,Apparel,Retail,7,486.82,0.071,3407.73,
2024-06-17,South,Toys,Partner,13,512.83,0.294,6666.85,
2024-06-18,West,Electronics,Retail,11,629.9,0.068,6928.85,1.0
2024-06-19,North,Apparel,Partner,8,531.74,0.071,4253.93,3.0
2024-06-20,East,Home,Retail,10,632.96,0.258,6329.59,
2024-06-21,North,Home,Retail,13,573.62,0.073,7457.0,5.0
2024-06-22,West,Home,Retail,6,680.05,0.108,4080.28,4.0
2024-06-23,North,Electronics,Partner,6,543.4,0.214,3260.42,5.0
2024-06-24,North,Apparel,Partner,11,446.65,0.048,4913.1,3.0
2024-06-25,South,Electronics,Partner,12,440.3,0.048,60749.95553648119,5.0
2024-06-26,West,Home,Partner,8,60.41,0.146,483.29,5.0
2024-06-27,West,Apparel,Retail,14,557.43,0.073,7804.06,5.0
2024-06-28,East,Home,Retail,8,20.0,,160.0,
2024-06-29,West,Home,Partner,5,241.48,0.003,1207.4,2.0
2024-06-30,West,Grocery,Online,5,567.77,0.111,2838.83,5.0
2024-07-01,East,Home,Retail,6,571.63,0.095,3429.78,4.0
2024-07-02,South,Grocery,Partner,4,260.51,0.009,1042.03,5.0
2024-07-03,West,Home,Retail,10,393.18,0.186,3931.85,3.0
2024-07-04,East,Grocery,Online,11,705.58,0.188,7761.39,5.0
2024-07-05,South,Grocery,Retail,8,341.92,0.021,2735.33,4.0
2024-07-06,North,Apparel,Online,6,836.44,0.095,5018.63,4.0
2024-07-07,East,Apparel,Partner,13,499.71,0.262,6496.26,1.0
2024-07-08,North,Grocery,Partner,6,561.21,0.175,3367.23,3.0
2024-07-09,West,Apparel,Online,11,742.53,0.124,8167.84,4.0
2024-07-10,North,Home,Retail,4,519.65,0.14,2078.62,4.0
2024-07-11,North,Electronics,Partner,10,349.65,0.062,3496.48,5.0
2024-07-12,West,Home,Partner,13,483.54,0.244,6286.03,2.0
2024-07-13,North,Home,Online,5,494.66,0.274,2473.29,2.0
2024-07-14,North,Grocery,Retail,11,295.29,,3248.18,5.0
2024-07-15,East,Home,Retail,9,461.63,0.067,4154.63,5.0
2024-07-16,West,Apparel,Retail,8,388.67,0.093,3109.37,1.0
2024-07-17,North,Toys,Online,10,638.65,0.048,6386.54,2.0
2024-07-18,South,Home,Online,8,404.15,0.092,3233.23,5.0
2024-07-19,West,Toys,Partner,6,457.58,0.1,2745.48,1.0
2024-07-20,West,Grocery,Online,13,484.07,0.19,6292.95,4.0
2024-07-21,East,Home,Online,10,533.47,0.057,5334.68,1.0
2024-07-22,North,Toys,Online,9,592.52,0.276,5332.7,1.0
2024-07-23,North,Electronics,Online,12,350.04,0.031,4200.52,4.0
2024-07-24,North,Toys,Online,13,343.76,0.002,4468.9,4.0
2024-07-25,North,Toys,Retail,6,665.7,0.256,3994.21,
2024-07-26,East,Home,Partner,13,438.15,0.211,5695.94,5.0
2024-07-27,North,Grocery,Online,7,287.47,0.107,2012.32,2.0
2024-07-28,East,Home,Online,7,566.57,0.179,3966.0,3.0
2024-07-29,East,Apparel,Online,9,569.51,0.067,5125.55,4.0
2024-07-30,East,Grocery,Retail,10,270.39,0.051,2703.93,4.0
2024-07-31,North,Apparel,Online,3,534.42,0.141,1603.27,2.0
2024-08-01,West,Apparel,Partner,6,610.34,0.106,3662.02,4.0
2024-08-02,East,Home,Retail,10,556.16,0.185,5561.58,
2024-08-03,East,Toys,Partner,9,594.8,0.065,5353.18,3.0
2024-08-04,North,Apparel,Retail,6,289.36,0.199,1736.16,5.0
2024-08-05,North,Home,Retail,5,549.66,0.23,2748.28,2.0
2024-08-06,West,Electronics,Partner,5,454.61,0.05,2273.04,4.0
2024-08-07,South,Electronics,Retail,12,342.07,0.013,4104.78,5.0
2024-08-08,South,Electronics,Partner,4,504.47,0.132,2017.87,4.0
2024-08-09,South,Electronics,Partner,7,577.51,0.232,4042.59,5.0
2024-08-10,East,Toys,Retail,5,769.16,0.195,3845.78,3.0
2024-08-11,West,Toys,Partner,11,697.22,0.211,7669.43,2.0
2024-08-12,North,Toys,Online,5,483.54,0.121,2417.7,5.0
2024-08-13,West,Electronics,Partner,10,552.91,0.07,5529.08,4.0
2024-08-14,North,Electronics,Partner,9,615.02,0.16,5535.21,2.0
2024-08-15,East,Apparel,Partner,6,518.18,0.061,3109.06,2.0
2024-08-16,East,Home,Online,7,519.61,0.218,3637.3,2.0
2024-08-17,North,Apparel,Partner,12,623.56,0.059,7482.76,5.0
2024-08-18,North,Home,Retail,5,491.11,0.087,2455.54,1.0
2024-08-19,South,Electronics,Online,10,312.49,0.152,3124.86,4.0
2024-08-20,West,Grocery,Online,10,437.83,0.146,4378.29,3.0
2024-08-21,East,Apparel,Retail,3,595.09,0.18,1785.26,1.0
2024-08-22,West,Electronics,Online,8,500.45,0.131,4003.59,4.0
2024-08-23,West,Grocery,Online,5,551.03,0.276,2755.16,4.0
2024-08-24,South,Toys,Retail,12,480.41,0.252,5764.91,4.0
2024-08-25,West,Electronics,Retail,10,443.77,0.264,4437.74,3.0
2024-08-26,North,Home,Online,8,613.44,0.189,4907.5,2.0
2024-08-27,North,Toys,Partner,5,556.83,0.191,2784.13,1.0
2024-08-28,West,Grocery,Partner,12,314.78,0.183,3777.34,
2024-08-29,West,Toys,Retail,6,716.35,0.13,4298.07,2.0
2024-08-30,North,Home,Partner,7,424.89,0.097,2974.22,4.0
2024-08-31,East,Apparel,Retail,13,251.74,0.178,3272.56,1.0
2024-09-01,East,Grocery,Online,7,343.24,0.008,2402.7,5.0
2024-09-02,West,Electronics,Online,11,346.84,0.002,3815.28,3.0
2024-09-03,East,Apparel,Partner,7,507.83,0.255,3554.78,
2024-09-04,South,Grocery,Partner,11,367.14,0.014,4038.52,5.0
2024-09-05,South,Grocery,Partner,9,359.58,0.157,3236.22,1.0
2024-09-06,South,Electronics,Online,7,474.36,0.184,3320.55,5.0
2024-09-07,East,Home,Online,7,550.98,0.059,3856.87,2.0
2024-09-08,West,Apparel,Online,8,547.41,0.269,4379.26,2.0
2024-09-09,South,Home,Online,7,449.18,0.057,3144.26,3.0
2024-09-10,North,Toys,Online,15,592.42,0.265,8886.3,5.0
2024-09-11,North,Electronics,Retail,9,183.81,0.229,1654.26,2.0
2024-09-12,East,Toys,Online,11,445.33,0.072,4898.68,5.0
2024-09-13,West,Home,Partner,18,172.97,0.045,3113.43,2.0
2024-09-14,North,Grocery,Retail,7,505.41,0.095,3537.86,2.0
2024-09-15,North,Home,Online,4,499.31,0.119,1997.22,4.0
2024-09-16,East,Apparel,Retail,8,656.83,0.074,5254.64,4.0
2024-09-17,North,Grocery,Partner,12,678.15,0.3,8137.74,2.0
2024-09-18,West,Grocery,Online,14,530.42,0.069,7425.83,1.0
2024-09-19,South,Electronics,Online,10,339.96,0.249,3399.57,2.0
2024-09-20,North,Grocery,Online,12,572.77,0.048,6873.29,3.0
2024-09-21,West,Grocery,Partner,7,420.81,0.294,2945.69,1.0
2024-09-22,North,Apparel,Online,11,499.79,0.068,5497.7,1.0
2024-09-23,North,Toys,Retail,7,647.92,0.127,4535.44,5.0
2024-09-24,North,Grocery,Retail,12,416.33,0.168,4996.01,1.0
2024-09-25,North,Apparel,Partner,11,620.85,0.036,6829.37,3.0
2024-09-26,North,Electronics,Online,8,601.61,0.245,4812.88,4.0
2024-09-27,North,Grocery,Partner,8,356.78,0.082,2854.25,2.0
2024-09-28,North,Apparel,Partner,5,646.08,0.165,3230.42,3.0
2024-09-29,North,Grocery,Retail,9,604.78,0.165,5443.06,1.0
2024-09-30,East,Home,Online,8,515.29,0.181,4122.31,
2024-10-01,East,Home,Partner,8,385.65,0.017,3085.21,4.0
2024-10-02,South,Electronics,Online,8,296.9,0.051,2375.16,5.0
2024-10-03,South,Grocery,Retail,7,335.48,0.048,2348.36,5.0
2024-10-04,East,Electronics,Retail,5,581.39,0.091,2906.95,2.0
2024-10-05,West,Home,Online,8,356.66,0.043,2853.25,1.0
2024-10-06,West,Toys,Retail,24,565.63,0.277,13575.04,2.0
2024-10-07,North,Toys,Online,10,313.74,0.154,3137.37,1.0
2024-10-08,North,Toys,Online,7,469.39,0.187,3285.73,3.0
2024-10-09,North,Toys,Online,9,516.45,0.107,4648.02,1.0
2024-10-10,North,Home,Online,6,866.77,0.083,5200.62,5.0
2024-10-11,East,Apparel,Retail,15,293.4,0.151,4401.04,4.0
2024-10-12,South,Toys,Partner,11,576.64,0.088,6343.06,2.0
2024-10-13,North,Toys,Online,7,522.48,0.103,3657.33,5.0
2024-10-14,South,Toys,Online,4,449.34,0.136,1797.36,4.0
2024-10-15,East,Grocery,Online,5,517.75,0.152,2588.76,3.0
2024-10-16,North,Electronics,Retail,9,566.71,0.295,5100.38,
2024-10-17,West,Home,Online,10,476.95,0.067,4769.47,2.0
2024-10-18,North,Home,Retail,11,718.11,0.146,7899.18,3.0
2024-10-19,West,Toys,Online,13,431.53,0.045,5609.88,4.0
2024-10-20,North,Apparel,Online,9,669.84,0.105,6028.52,2.0
2024-10-21,West,Apparel,Retail,8,403.34,0.215,3226.76,4.0
2024-10-22,West,Electronics,Retail,6,490.96,0.052,2945.77,2.0
2024-10-23,West,Toys,Retail,5,339.21,0.174,1696.03,2.0
2024-10-24,West,Grocery,Partner,12,568.25,0.125,6819.04,3.0
2024-10-25,West,Electronics,Retail,9,716.77,0.015,6450.92,1.0
2024-10-26,East,Home,Partner,14,488.4,0.28,6837.55,3.0
2024-10-27,West,Home,Retail,11,470.47,0.124,5175.14,2.0
2024-10-28,North,Home,Online,9,332.81,0.235,2995.27,2.0
2024-10-29,East,Toys,Online,7,465.61,0.125,3259.24,4.0
2024-10-30,East,Electronics,Online,7,261.08,0.281,1827.57,2.0
2024-10-31,West,Apparel,Retail,11,363.07,0.087,3993.75,4.0
2024-11-01,South,Electronics,Online,7,427.21,0.124,2990.5,4.0
2024-11-02,South,Apparel,Partner,8,558.28,0.228,4466.25,4.0
2024-11-03,East,Toys,Retail,4,921.38,0.103,3685.53,2.0
2024-11-04,North,Toys,Partner,8,412.01,0.109,3296.1,5.0
2024-11-05,North,Electronics,Partner,9,715.3,0.298,6437.66,2.0
2024-11-06,South,Grocery,Retail,4,429.25,0.167,1717.0,2.0
2024-11-07,South,Apparel,Online,9,381.85,0.207,3436.65,5.0
2024-11-08,North,Electronics,Partner,6,564.89,0.193,3389.34,2.0
2024-11-09,South,Apparel,Online,8,407.43,0.248,3259.44,4.0
2024-11-10,South,Electronics,Online,13,413.25,0.259,53361.98303999917,1.0
2024-11-11,South,Home,Partner,11,351.0,0.169,3861.0,4.0
2024-11-12,South,Toys,Retail,13,232.23,0.088,3018.95,5.0
2024-11-13,East,Home,Online,11,268.46,0.007,2953.02,
2024-11-14,North,Grocery,Retail,6,597.99,0.184,3587.92,3.0
2024-11-15,West,Home,Retail,9,458.49,0.248,4126.45,5.0
2024-11-16,West,Electronics,Partner,7,410.59,0.135,2874.11,2.0
2024-11-17,South,Electronics,Partner,11,401.02,0.049,4411.23,2.0
2024-11-18,South,Apparel,Online,13,495.39,0.086,6440.09,1.0
2024-11-19,East,Apparel,Online,16,527.05,0.153,8432.87,4.0
2024-11-20,West,Toys,Retail,9,401.59,0.251,3614.33,4.0
2024-11-21,East,Toys,Online,6,683.94,0.052,4103.66,4.0
2024-11-22,West,Toys,Online,9,736.88,0.184,6631.9,4.0
2024-11-23,East,Grocery,Online,8,574.18,0.226,4593.47,1.0
2024-11-24,East,Home,Online,6,646.05,0.281,3876.3,4.0
2024-11-25,North,Grocery,Partner,17,686.29,0.035,11667.0,4.0
2024-11-26,East,Home,Online,5,669.51,0.278,3347.57,2.0
2024-11-27,North,Grocery,Online,8,592.11,0.18,4736.92,3.0
2024-11-28,East,Grocery,Partner,8,589.75,0.23,4718.02,5.0
2024-11-29,West,Grocery,Online,8,577.95,0.016,4623.59,3.0
2024-11-30,North,Grocery,Partner,6,335.4,0.152,2012.4,4.0
2024-12-01,East,Electronics,Online,8,605.11,0.187,4840.87,3.0
2024-12-02,North,Grocery,Online,6,296.63,0.092,1779.77,4.0
2024-12-03,East,Apparel,Online,12,380.81,0.129,4569.72,4.0
2024-12-04,North,Grocery,Partner,8,695.53,0.166,5564.28,4.0
2024-12-05,West,Home,Retail,10,626.03,0.166,6260.33,4.0
2024-12-06,North,Toys,Retail,11,723.11,0.013,7954.21,5.0
2024-12-07,West,Apparel,Online,6,459.25,0.132,2755.49,2.0
2024-12-08,West,Toys,Online,8,327.16,0.064,2617.3,5.0
2024-12-09,East,Toys,Retail,7,463.93,0.275,3247.54,4.0
2024-12-10,West,Apparel,Online,8,515.3,0.293,4122.44,3.0
2024-12-11,West,Home,Retail,9,511.85,0.09,4606.63,2.0
2024-12-12,West,Home,Partner,11,670.05,0.053,7370.57,3.0
2024-12-13,North,Grocery,Partner,7,445.81,0.066,3120.67,4.0
2024-12-14,East,Grocery,Retail,5,552.81,0.143,2764.03,2.0
2024-12-15,North,Toys,Online,11,351.71,0.262,3868.77,2.0
2024-12-16,East,Apparel,Online,6,567.55,0.15,3405.29,5.0
2024-12-17,North,Home,Partner,12,500.47,0.017,6005.6,3.0
2024-12-18,East,Home,Retail,7,387.53,0.012,2712.7,
2024-12-19,East,Toys,Retail,6,464.63,0.068,2787.75,1.0
2024-12-20,South,Apparel,Retail,10,377.9,0.253,3778.99,1.0
2024-12-21,East,Home,Online,9,459.48,0.186,4135.29,5.0
2024-12-22,West,Electronics,Partner,9,765.7,0.169,6891.31,1.0
2024-12-23,West,Toys,Partner,6,485.23,0.096,2911.4,4.0
2024-12-24,South,Apparel,Partner,5,370.73,0.279,1853.66,5.0
2024-12-25,East,Apparel,Partner,8,185.38,0.099,1483.06,3.0
2024-12-26,West,Home,Online,4,365.87,0.25,1463.48,5.0
2024-12-27,North,Home,Online,10,460.54,0.269,4605.39,3.0
2024-12-28,North,Toys,Online,9,397.12,0.145,3574.1,5.0
2024-12-29,North,Home,Partner,9,707.26,0.268,6365.31,2.0
2024-12-30,East,Home,Retail,8,475.26,0.083,3802.07,3.0
2024-12-31,South,Electronics,Retail,9,554.61,0.198,4991.52,2.0
2025-01-01,West,Electronics,Partner,12,509.26,0.026,6111.07,4.0
2025-01-02,East,Apparel,Retail,10,505.58,0.142,5055.84,1.0
2025-01-03,South,Toys,Partner,7,389.34,0.065,2725.41,5.0
2025-01-04,West,Toys,Partner,9,500.57,0.019,4505.12,1.0
2025-01-05,West,Grocery,Online,7,757.82,0.001,5304.73,2.0
2025-01-06,North,Grocery,Retail,14,152.06,0.097,2128.82,3.0
2025-01-07,South,Apparel,Partner,6,159.81,0.177,958.89,1.0
2025-01-08,South,Electronics,Partner,8,334.82,0.137,2678.56,3.0
2025-01-09,North,Electronics,Online,4,502.18,0.091,2008.72,5.0
2025-01-10,North,Apparel,Online,9,603.52,0.297,5431.64,5.0
2025-01-11,West,Apparel,Retail,8,570.96,,4567.7,
2025-01-12,South,Electronics,Partner,8,353.89,0.038,33411.98029879275,3.0
2025-01-13,South,Apparel,Online,14,522.29,0.125,7311.99,3.0
2025-01-14,East,Electronics,Retail,8,654.53,0.195,5236.23,1.0
2025-01-15,East,Grocery,Online,13,527.61,0.22,6858.91,4.0
2025-01-16,West,Toys,Online,8,644.4,0.11,5155.19,3.0
2025-01-17,West,Grocery,Retail,10,540.9,0.224,5408.97,4.0
2025-01-18,South,Home,Retail,7,332.62,0.037,2328.35,2.0
2025-01-19,South,Home,Retail,4,483.74,0.1,1934.95,2.0
2025-01-20,West,Apparel,Online,7,516.59,0.215,3616.14,4.0
2025-01-21,East,Electronics,Partner,9,500.2,0.188,4501.81,4.0
2025-01-22,West,Home,Online,10,720.94,0.251,7209.43,1.0
2025-01-23,North,Home,Partner,6,132.37,0.014,794.22,2.0
2025-01-24,West,Electronics,Online,5,287.35,0.052,1436.74,3.0
