region,category,channel,units,unit_price,discount,revenue,high_value
West,Apparel,Partner,10,545.2796201063368,0.255,4195.21,0
West,Grocery,Partner,7,450.6538956964493,0.068,2987.83,0
West,Toys,Retail,21,815.0666883561119,0.008,17571.62,1
East,Apparel,Online,21,835.6709143482271,0.011,17479.14,1
North,Toys,Partner,1,301.3161674555058,0.04,291.05,0
East,Toys,Online,15,935.2834387072929,0.171,11448.47,1
North,Apparel,Retail,16,399.3107486781268,0.242,4924.06,1
North,Home,Online,10,788.0749464238667,0.266,5961.22,0
South,Grocery,Retail,12,948.147082958944,0.191,9312.35,0
North,Home,Retail,19,695.5117768213868,0.121,11367.67,1
West,Electronics,Online,10,175.088697393146,0.046,1676.24,0
South,Toys,Online,2,582.6914769669736,0.12,1046.53,0
West,Home,Partner,9,134.0260381717553,0.1,1123.77,0
West,Home,Online,7,777.5763582741693,0.261,3911.9,0
South,Toys,Partner,10,290.06256691892764,0.146,2403.32,0
West,Grocery,Online,6,687.4062301376179,0.068,3817.2,0
East,Apparel,Partner,4,893.686087164991,0.087,3165.99,0
West,Home,Retail,24,193.7694566433655,0.041,4631.21,1
South,Electronics,Retail,4,397.1435250571201,0.276,1143.16,0
East,Toys,Partner,17,641.2340365506236,0.015,10766.34,1
West,Home,Partner,18,422.8722490971211,0.004,7415.73,1
East,Apparel,Partner,15,187.82618395972662,0.055,2651.6,1
North,Toys,Retail,22,47.90874960204512,0.243,828.81,1
West,Home,Retail,1,410.3342179538844,0.157,345.6,0
West,Home,Partner,8,643.2406655186436,0.188,4014.3,0
East,Home,Online,5,571.0248398263891,0.107,2497.11,0
North,Apparel,Retail,14,169.9915901702167,0.021,2419.09,1
North,Electronics,Partner,16,452.66570611269117,0.257,5591.84,1
South,Grocery,Partner,22,374.6922043340027,0.058,7585.28,1
West,Electronics,Retail,10,283.23430620166386,0.01,2829.88,0
East,Apparel,Partner,6,720.1003941059737,0.172,3456.37,0
South,Toys,Partner,23,317.265948826097,0.025,7158.77,1
North,Electronics,Online,17,538.5362742397081,0.029,8623.58,1
North,Toys,Online,19,906.2945938588318,0.24,13420.52,1
East,Toys,Retail,11,537.7049429634392,0.147,5222.71,0
West,Toys,Partner,11,612.3419937541383,0.072,6087.26,1
South,Apparel,Partner,10,90.31614672084935,0.105,805.92,0
South,Electronics,Partner,18,191.00877799206685,0.219,2599.71,1
West,Grocery,Partner,6,116.91315132618894,0.02,678.6,0
South,Apparel,Retail,24,754.2204304216066,0.035,16860.0,1
South,Grocery,Online,5,822.4842376801687,0.185,3288.49,0
West,Electronics,Online,12,198.99708146679455,0.182,2029.96,0
South,Electronics,Partner,8,230.5008808861674,0.292,1257.99,0
West,Toys,Online,16,330.2789979130716,0.112,4827.36,1
East,Grocery,Online,17,587.434512275682,0.02,9455.83,1
North,Grocery,Retail,23,616.9243460480187,0.161,11932.41,1
North,Toys,Partner,19,679.2838001997993,0.192,10388.42,1
East,Apparel,Online,6,888.9850459649241,0.042,5286.3,0
South,Grocery,Retail,5,303.2385348766766,0.166,1234.06,0
East,Toys,Partner,22,652.4086296385046,0.059,13160.06,1
South,Electronics,Retail,12,557.3339319465845,0.253,5095.35,1
East,Electronics,Retail,3,313.60375079606445,0.251,717.39,0
South,Grocery,Retail,20,891.1185791299264,0.129,15770.64,1
South,Apparel,Online,16,111.6640754808488,0.29,1220.42,1
South,Toys,Retail,1,703.5209857587694,0.294,487.15,0
North,Electronics,Partner,19,718.7587645016979,0.039,13480.67,1
West,Apparel,Online,15,898.7134665823631,0.11,12094.63,1
North,Apparel,Retail,15,517.8373686572994,0.18,6421.47,1
West,Apparel,Retail,21,328.75744469047606,0.025,6621.41,1
South,Toys,Online,12,814.6310430656197,0.115,8485.39,1
North,Grocery,Retail,12,759.9778705590969,0.078,8708.78,1
West,Grocery,Partner,15,500.30298984269155,0.286,5455.87,1
North,Toys,Retail,5,757.1430806084586,0.123,3220.97,0
North,Apparel,Online,4,277.16057799417035,0.229,884.69,0
East,Grocery,Retail,21,585.9260771873292,0.116,10948.81,1
East,Home,Retail,6,850.5761165963605,0.04,4834.01,0
East,Home,Retail,13,325.26512443185203,0.259,3107.5,1
East,Toys,Retail,7,484.2079831335135,0.0,3450.58,0
West,Toys,Partner,6,933.0030600059738,0.017,5448.38,0
North,Grocery,Partner,15,786.2833682928672,0.109,10574.88,1
North,Home,Partner,20,871.5574595173306,0.206,14073.4,1
West,Toys,Retail,11,389.8371784548285,0.103,3752.78,1
South,Toys,Partner,4,976.6450492491765,0.02,3964.51,0
North,Apparel,Online,6,166.46298049646046,0.095,893.49,0
East,Apparel,Retail,4,518.0197598876566,0.073,1908.43,0
South,Toys,Retail,22,480.10244700439944,0.002,10708.53,1
North,Electronics,Online,8,786.4949031681291,0.16,5331.24,0
North,Apparel,Online,9,892.2730616144115,0.035,7712.27,0
North,Toys,Retail,2,721.8938018317374,0.086,1335.43,0
North,Grocery,Partner,11,621.7435866850907,0.192,5704.14,0
East,Home,Partner,22,430.3320232145636,0.218,7581.28,1
North,Apparel,Online,10,509.9128803927048,0.079,4818.12,1
South,Home,Partner,16,508.92830069582897,0.099,7194.91,1
West,Toys,Partner,5,39.55373473700256,0.074,181.95,0
North,Home,Partner,4,502.9239726345706,0.287,1440.51,0
East,Electronics,Retail,18,841.7319681671598,0.057,13766.57,1
West,Home,Partner,2,700.9030506965582,0.055,1353.3,0
West,Home,Online,11,783.8802772400046,0.134,7361.78,1
South,Toys,Partner,8,394.8655901777801,0.057,2927.06,0
East,Grocery,Partner,1,527.8143074364398,0.047,493.32,0
West,Grocery,Retail,13,52.14422623721646,0.029,646.81,0
West,Toys,Online,24,387.6780244825698,0.192,7420.43,1
South,Apparel,Retail,2,475.43940309693824,0.184,782.42,0
South,Home,Retail,20,265.00054361511843,0.195,4295.03,1
East,Electronics,Online,13,49.99133983102382,0.232,489.36,0
East,Grocery,Partner,18,682.791784427794,0.098,10825.45,1
South,Grocery,Partner,3,437.6842408148895,0.276,975.47,0
East,Grocery,Online,21,419.0510653877448,0.22,6640.41,1
South,Apparel,Retail,1,259.98728386736855,0.241,197.53,0
West,Apparel,Online,22,536.3171830380965,0.216,9265.61,1
South,Grocery,Partner,16,440.5057100199022,0.108,6324.18,1
West,Home,Partner,9,475.0250941079273,0.085,4032.52,0
West,Toys,Retail,1,577.6364944989267,0.127,509.28,0
North,Home,Retail,15,26.071661350145945,0.029,394.12,0
East,Home,Partner,3,891.3880673968856,0.135,2381.87,0
North,Toys,Retail,15,88.24390106727802,0.013,1276.64,0
North,Grocery,Retail,19,452.88775742335474,0.001,8418.27,1
South,Apparel,Retail,7,219.07796022980617,0.279,1091.96,0
South,Grocery,Online,6,522.8310745950803,0.207,2466.04,0
North,Apparel,Online,6,289.0209044452523,0.169,1447.17,0
West,Home,Online,6,845.6062381400998,0.102,4458.63,0
West,Grocery,Retail,3,400.50544060392343,0.171,973.93,0
West,Grocery,Partner,6,633.2053335376999,0.267,2758.41,0
South,Grocery,Partner,16,258.9245390219638,0.196,3376.64,1
West,Apparel,Online,8,38.629904474256804,0.181,256.91,0
East,Grocery,Retail,19,407.988354188745,0.138,6936.55,1
West,Grocery,Online,20,535.0270299759585,0.104,9359.43,1
East,Grocery,Partner,19,461.16526521128026,0.21,6862.76,1
East,Electronics,Online,13,943.5337892661056,0.294,8981.67,1
East,Toys,Retail,8,698.5656068921872,0.127,4952.94,0
South,Grocery,Online,23,975.8430086003794,0.118,19942.09,1
North,Toys,Online,5,303.2576867014131,0.128,1326.4,0
North,Apparel,Online,12,777.4911484228606,0.128,7859.39,1
West,Toys,Online,11,553.3361288447493,0.297,4413.61,1
North,Electronics,Retail,18,607.2899402705594,0.212,8700.29,1
East,Home,Partner,14,966.4190724246346,0.108,12137.84,1
South,Toys,Online,20,647.8277117610722,0.111,11554.78,1
North,Home,Online,23,882.8642166434412,0.129,17533.49,1
South,Toys,Online,10,716.7202253304772,0.011,6949.24,1
East,Apparel,Online,21,142.29067685576007,0.158,2567.37,1
West,Toys,Retail,5,691.44676190942,0.243,2619.13,0
North,Toys,Partner,22,484.9429651380627,0.198,8237.31,1
West,Toys,Retail,5,902.0460732630487,0.06,4205.39,0
West,Apparel,Online,21,794.5610693028369,0.218,13495.69,1
East,Apparel,Retail,10,119.96930010293622,0.216,931.07,0
West,Apparel,Retail,24,148.55901790741612,0.079,3260.95,1
East,Home,Retail,4,86.82656172666135,0.187,285.16,0
West,Home,Partner,12,493.51507975483275,0.183,4955.19,0
North,Apparel,Online,22,97.54088883905891,0.252,1626.77,1
North,Home,Online,2,714.7312031117062,0.041,1409.24,0
North,Apparel,Partner,7,550.2642381924154,0.058,3516.39,0
West,Apparel,Retail,3,822.4496168510167,0.146,2178.69,0
South,Toys,Online,8,288.6039571244636,0.013,2352.45,0
East,Grocery,Online,10,518.3751527946952,0.125,4542.73,0
West,Apparel,Online,15,132.7804984741226,0.236,1536.85,1
East,Grocery,Retail,7,869.2256025442692,0.045,5677.27,0
West,Home,Partner,4,188.00476379824477,0.138,645.54,0
South,Electronics,Retail,5,118.2677612963888,0.297,405.82,0
West,Apparel,Partner,23,216.84857458225596,0.152,4067.67,1
South,Electronics,Partner,23,793.9822291740622,0.149,16138.5,1
West,Electronics,Online,6,121.5819465772955,0.168,595.24,0
North,Apparel,Retail,5,609.8503950446393,0.056,2899.93,0
West,Home,Retail,2,736.3340485905206,0.044,1385.37,0
West,Toys,Partner,24,741.0379140635563,0.203,14027.86,1
South,Electronics,Partner,17,202.4584511438059,0.119,3007.42,1
South,Grocery,Partner,19,79.15903844250752,0.087,1355.05,1
West,Apparel,Retail,7,450.8541284213289,0.009,3161.95,0
South,Electronics,Online,16,214.38593143476425,0.254,2653.27,1
West,Toys,Retail,2,691.2999766533804,0.01,1360.96,0
North,Toys,Partner,17,362.4250876692042,0.225,4955.76,1
South,Toys,Online,14,451.3797833918068,0.115,5667.67,1
West,Electronics,Partner,8,128.94553577764333,0.18,853.13,0
North,Electronics,Partner,18,564.848275086264,0.074,9216.88,1
West,Apparel,Partner,16,198.103222046631,0.047,2915.06,1
East,Home,Online,11,671.8262344783395,0.16,6382.45,0
East,Grocery,Online,5,88.32206964597795,0.209,351.38,0
West,Apparel,Online,1,956.8588085900705,0.059,894.24,0
South,Electronics,Retail,23,677.1458994423792,0.131,13871.89,1
East,Grocery,Retail,7,194.46038509944913,0.133,1162.3,0
West,Electronics,Online,8,33.53085964338156,0.065,256.5,0
North,Electronics,Partner,17,341.08437651701,0.17,4746.46,1
East,Home,Online,7,166.70073349011912,0.044,1153.12,0
North,Home,Partner,10,229.67487979476414,0.153,1909.24,0
West,Toys,Retail,18,857.8402481003739,0.034,14483.62,1
South,Grocery,Online,15,599.0764736488155,0.146,7795.79,1
North,Grocery,Online,16,189.3993469077435,0.093,2674.43,1
North,Apparel,Online,1,554.3930246599508,0.136,496.22,0
East,Grocery,Retail,11,265.54942728799347,0.13,2572.93,0
West,Toys,Retail,12,957.1528297837656,0.272,8181.65,0
South,Electronics,Partner,16,51.44694105314745,0.147,685.79,0
East,Grocery,Online,4,723.0256852811025,0.246,2254.59,0
South,Electronics,Retail,4,762.0771451437702,0.068,2865.54,0
West,Home,Retail,19,84.47625339939225,0.106,1480.11,1
North,Toys,Retail,17,184.9945896620975,0.023,2976.77,1
North,Apparel,Partner,20,388.93439273979925,0.126,7029.94,1
West,Apparel,Retail,7,853.4286334679051,0.201,4780.88,0
West,Home,Partner,24,535.5199408817593,0.251,9756.21,1
North,Grocery,Retail,7,649.0945760069989,0.17,3732.89,0
East,Apparel,Online,16,771.6923220385689,0.192,9624.58,1
North,Toys,Retail,4,814.9978768040191,0.053,3200.32,0
East,Home,Partner,23,477.23316136033384,0.011,11285.16,1
North,Electronics,Retail,8,508.44141322254205,0.238,3065.87,0
North,Toys,Online,20,709.2856228042682,0.05,13954.97,1
East,Grocery,Retail,8,272.8086643862014,0.027,2067.09,0
South,Home,Retail,19,840.3101469109034,0.281,11162.35,1
West,Electronics,Retail,11,39.95535149680791,0.289,301.82,0
South,Electronics,Partner,2,207.9407381213357,0.185,336.0,0
East,Home,Online,5,788.1919453150431,0.114,3366.63,0
East,Home,Online,17,346.6478834169653,0.25,4382.51,1
West,Home,Online,5,163.8395193846137,0.061,746.97,0
East,Apparel,Partner,7,199.2845654829472,0.129,1237.45,0
West,Home,Online,14,529.5261458586267,0.107,6796.69,1
North,Apparel,Online,7,832.3342681711883,0.274,4293.48,0
East,Toys,Retail,4,87.82468714026618,0.276,248.25,0
North,Toys,Retail,15,49.261672759663426,0.195,607.53,0
East,Toys,Retail,17,466.5614104033694,0.033,7516.1,1
East,Electronics,Online,18,937.9399184514893,0.145,14734.55,1
North,Grocery,Retail,23,287.84941127756133,0.074,6163.67,1
South,Electronics,Retail,3,940.8037175043663,0.265,2052.35,0
East,Grocery,Retail,11,872.1739295264013,0.042,8884.72,0
West,Electronics,Retail,6,291.8096733320107,0.016,1767.98,0
South,Home,Partner,22,804.2701416859009,0.211,14451.54,1
South,Electronics,Online,13,678.4326104660661,0.136,7721.3,1
North,Electronics,Partner,3,511.3494933485669,0.252,1190.11,0
West,Toys,Online,17,425.99949732115977,0.022,7328.64,1
West,Toys,Partner,2,802.8826456884385,0.24,1190.57,0
North,Electronics,Retail,7,781.3562553872204,0.011,5509.39,0
North,Grocery,Online,18,746.6588825048568,0.008,13171.61,1
West,Apparel,Partner,13,978.3257131666841,0.138,10952.17,1
East,Apparel,Online,19,479.3719625037285,0.066,8273.48,1
East,Apparel,Partner,14,794.6460587071192,0.178,9492.13,1
South,Home,Retail,21,847.9792323041394,0.008,17984.68,1
West,Electronics,Retail,14,223.13847819553658,0.011,3031.96,1
West,Home,Partner,2,60.38378437093854,0.218,93.47,0
West,Apparel,Retail,2,408.55846610103646,0.063,760.89,0
South,Electronics,Partner,19,842.467217059305,0.197,13108.06,1
East,Apparel,Partner,1,297.5391499467298,0.225,238.45,0
East,Toys,Partner,10,692.0097479047271,0.018,6698.46,0
West,Toys,Online,1,27.054213501692175,0.231,20.76,0
West,Apparel,Partner,8,361.1498550274282,0.081,2674.97,0
North,Apparel,Retail,15,610.8960269678252,0.117,8022.28,1
West,Toys,Online,5,144.5669024694434,0.026,704.28,0
West,Toys,Retail,12,880.7426356615366,0.252,7656.18,1
South,Grocery,Partner,24,170.02301803239607,0.168,3304.76,1
East,Grocery,Partner,2,893.4018032038349,0.151,1504.99,0
North,Grocery,Partner,2,227.7337363356557,0.291,333.65,0
North,Grocery,Partner,7,974.5075269592072,0.1,6065.41,0
West,Home,Retail,20,600.5587647637673,0.267,8627.96,1
South,Apparel,Retail,10,100.97109866077884,0.216,806.99,0
West,Apparel,Partner,16,82.66614509951346,0.279,987.9,1
South,Apparel,Online,1,91.92482840909001,0.272,66.7,0
West,Toys,Retail,18,586.2970373993138,0.297,7127.35,1
North,Toys,Partner,2,797.1960342342899,0.04,1553.66,0
North,Grocery,Partner,18,406.8442320996855,0.239,5535.08,1
South,Electronics,Online,4,447.04232891058734,0.241,1376.07,0
West,Home,Partner,21,585.7161955180429,0.193,9749.62,1
West,Apparel,Retail,8,531.7189805949015,0.084,3741.33,0
East,Grocery,Retail,5,680.5392637772194,0.29,2385.86,0
West,Apparel,Retail,9,472.9142913565055,0.061,4062.08,1
South,Electronics,Online,1,705.3062576615048,0.15,594.38,0
East,Home,Retail,4,977.4183128447687,0.156,3225.63,0
South,Grocery,Retail,15,356.2859285588143,0.049,5067.78,1
North,Grocery,Partner,8,31.726844398736773,0.217,202.75,0
East,Electronics,Partner,9,140.60004372958858,0.027,1193.75,0
West,Apparel,Partner,20,551.3736175874757,0.208,8867.74,1
North,Electronics,Partner,3,350.48747565886595,0.255,793.83,0
West,Apparel,Partner,10,922.3832899567927,0.105,8169.96,1
East,Home,Online,5,622.3482465030876,0.213,2541.09,0
North,Apparel,Online,12,519.5409785268491,0.047,6129.08,1
North,Electronics,Partner,8,786.117921221138,0.254,4622.55,0
East,Home,Online,2,268.24627620713136,0.286,368.69,0
West,Electronics,Retail,2,806.9489986710653,0.046,1516.05,0
East,Apparel,Partner,21,22.938660669529227,0.208,372.5,1
North,Electronics,Retail,2,614.8902676502889,0.152,1046.8,0
North,Electronics,Partner,19,917.3668650039477,0.159,15149.66,1
North,Home,Online,22,776.3455539525153,0.212,13857.47,1
South,Grocery,Partner,12,839.488824461465,0.147,8459.53,1
South,Toys,Retail,8,401.07650736464046,0.18,2616.03,0
West,Electronics,Online,19,811.2693882561213,0.069,13818.47,1
East,Electronics,Online,24,548.798398429056,0.114,11710.88,1
North,Apparel,Online,3,613.798627043071,0.26,1315.04,0
South,Toys,Retail,24,76.55872576237137,0.033,1839.12,1
South,Toys,Partner,23,213.48962928741645,0.179,4149.66,1
East,Grocery,Online,4,548.9258388930105,0.055,2027.5,0
East,Apparel,Partner,2,76.44901551055774,0.254,115.88,0
East,Electronics,Online,18,731.7889343242047,0.174,10939.44,1
East,Electronics,Retail,2,826.4547281810255,0.121,1487.94,0
North,Electronics,Partner,15,903.5478668430127,0.075,12512.31,1
North,Electronics,Retail,2,117.69772081261368,0.131,199.51,0
West,Grocery,Retail,17,922.1314381018881,0.287,11302.2,1
West,Apparel,Partner,6,84.91520732412319,0.153,417.05,0
South,Grocery,Partner,3,475.0939672907027,0.141,1232.6,0
West,Home,Partner,2,826.6409798026993,0.224,1253.46,0
South,Home,Online,5,87.49869302187716,0.114,393.35,0
South,Home,Partner,13,37.50183006942429,0.128,436.28,0
West,Grocery,Retail,2,43.94980995838466,0.101,76.55,0
East,Electronics,Partner,20,510.81942985859223,0.045,9678.81,1
South,Electronics,Online,15,799.1328748127964,0.214,9597.79,1
North,Home,Retail,8,142.32960422969566,0.262,817.71,0
West,Apparel,Online,24,139.625843916359,0.272,2452.53,1
North,Home,Online,16,565.8049808477999,0.264,6754.52,1
North,Toys,Retail,17,244.92377677944674,0.136,3555.65,1
South,Home,Online,5,721.0051857390789,0.085,3386.2,0
West,Apparel,Online,18,931.6499726496799,0.191,13578.25,1
South,Apparel,Retail,14,755.3920703363965,0.286,7627.61,1
South,Toys,Retail,24,862.0883517237598,0.218,15714.83,1
East,Apparel,Partner,12,518.8026152688035,0.148,5101.9,0
East,Home,Online,17,819.026532048832,0.207,10644.47,1
North,Home,Online,9,195.58705662721508,0.232,1395.58,0
East,Toys,Online,1,85.61397477980229,0.276,63.88,0
West,Toys,Online,4,649.7149857196985,0.229,2053.03,0
West,Home,Online,21,69.8744036077337,0.13,1245.93,1
South,Apparel,Online,18,876.7821623740932,0.082,14517.46,1
South,Apparel,Partner,9,683.8919812231219,0.15,5355.71,0
East,Home,Partner,17,934.1126963925556,0.098,14523.84,1
South,Apparel,Retail,1,321.3311900607062,0.283,223.31,0
East,Toys,Partner,1,486.71197683355604,0.152,425.79,0
North,Apparel,Partner,13,732.0227504433142,0.142,7943.34,1
South,Toys,Retail,15,253.06782604238774,0.104,3311.93,1
South,Toys,Partner,23,540.1748673072002,0.192,10360.66,1
East,Grocery,Online,19,653.088584005259,0.156,10460.04,1
South,Electronics,Partner,7,959.6563082691596,0.039,6389.96,0
East,Toys,Online,20,734.9151624726894,0.261,10908.67,1
North,Electronics,Partner,12,133.40561626791103,0.108,1482.97,0
West,Apparel,Retail,20,476.3201133279779,0.13,8035.77,1
West,Electronics,Retail,5,585.2199516699892,0.062,2801.1,0
East,Electronics,Partner,1,160.75821714977863,0.166,132.3,0
South,Electronics,Online,2,434.6874147018352,0.211,664.92,0
West,Electronics,Online,24,292.6455836823901,0.264,5137.01,1
North,Grocery,Retail,2,134.07444057154493,0.015,265.16,0
West,Electronics,Retail,23,511.56025612491635,0.292,8134.29,1
West,Apparel,Partner,18,179.0077577718516,0.211,2523.0,1
South,Toys,Retail,4,586.9159122422944,0.085,2171.43,0
East,Grocery,Online,21,182.90905495219081,0.061,3628.84,1
North,Grocery,Retail,4,714.6511266587082,0.089,2650.68,0
North,Electronics,Retail,4,207.4319581084836,0.263,627.97,0
West,Grocery,Retail,14,880.4336967451036,0.087,11171.9,1
West,Toys,Partner,7,45.160982286856495,0.139,270.51,0
East,Electronics,Partner,7,521.1174915639065,0.212,2873.72,0
South,Home,Retail,5,327.30057525108504,0.262,1214.15,0
South,Grocery,Online,15,236.0734647436072,0.198,2750.98,1
East,Apparel,Online,1,472.7386679985421,0.226,360.42,0
East,Electronics,Online,6,828.3387548712903,0.052,4587.92,0
East,Grocery,Partner,14,898.6661173055827,0.263,9187.76,1
East,Grocery,Retail,12,311.11867342193193,0.083,3553.19,0
South,Grocery,Retail,17,168.0738772112684,0.039,2764.0,1
South,Grocery,Online,6,711.334829663655,0.293,3000.44,0
East,Grocery,Online,16,578.7187764377487,0.06,8749.84,1
North,Home,Retail,19,212.9755027304575,0.041,3933.12,1
East,Electronics,Partner,10,749.8839565639391,0.188,6057.37,0
West,Toys,Retail,7,518.1732178324555,0.096,3265.28,0
North,Apparel,Retail,14,647.2593915271112,0.04,8839.33,1
North,Home,Online,14,364.9654726048532,0.18,4042.61,1
South,Toys,Online,3,441.533658850281,0.228,1025.87,0
East,Grocery,Retail,14,193.1284144399445,0.238,2068.09,0
East,Apparel,Retail,4,746.2552329395273,0.047,2903.16,0
West,Apparel,Retail,14,170.7308711857202,0.167,2067.94,1
West,Toys,Online,23,767.1704909610189,0.244,13655.18,1
South,Electronics,Online,13,786.0875406892026,0.048,9731.57,1
South,Home,Retail,19,736.7369254929168,0.062,12782.92,1
West,Toys,Online,8,38.64587653639081,0.001,311.04,0
South,Home,Partner,23,282.20788410240664,0.157,5618.06,1
West,Apparel,Retail,20,469.60423308014117,0.058,9153.4,1
North,Grocery,Partner,23,591.722603568124,0.217,10933.66,1
West,Apparel,Retail,18,902.4532153942882,0.289,11262.21,1
East,Toys,Retail,16,380.5817332435542,0.063,5802.71,1
South,Home,Retail,13,860.022386022996,0.195,9273.85,1
East,Electronics,Retail,23,176.8921166113631,0.064,3863.28,1
East,Home,Retail,21,376.4292680082819,0.005,7982.37,1
East,Electronics,Online,11,70.19073038847009,0.228,596.07,0
West,Grocery,Online,3,732.7897194133973,0.13,1933.54,0
East,Toys,Partner,1,164.62664713559644,0.284,115.93,0
East,Apparel,Online,6,266.7392150225195,0.16,1300.14,0
North,Home,Online,2,764.2239221054863,0.047,1494.8,0
South,Toys,Online,6,533.3280487258016,0.135,2866.1,0
East,Apparel,Retail,3,33.41381064172406,0.061,96.81,0
West,Apparel,Partner,24,22.14579655750125,0.263,386.51,1
North,Home,Retail,3,510.23420647030116,0.207,1174.38,0
South,Apparel,Partner,16,312.75729319922704,0.102,4414.66,1
North,Toys,Partner,9,193.09898815537002,0.158,1503.44,0
South,Electronics,Partner,5,609.0501802074665,0.201,2463.49,0
North,Grocery,Online,17,239.29901284873,0.235,3228.27,1
West,Apparel,Retail,24,588.51886369755,0.024,13611.97,1
East,Home,Partner,19,384.09531256282196,0.007,7276.57,1
South,Electronics,Retail,24,199.27636896299813,0.034,4727.22,1
South,Apparel,Online,15,152.58054835399872,0.118,1975.68,1
East,Toys,Partner,17,247.38617900219654,0.14,3751.07,1
North,Apparel,Partner,4,48.63882369246568,0.041,187.96,0
East,Electronics,Partner,21,315.8018835548177,0.123,5587.15,1
North,Home,Retail,18,885.8765025745224,0.132,13315.15,1
South,Electronics,Partner,7,818.1076408477071,0.033,5707.1,0
East,Apparel,Retail,9,377.12360645087256,0.275,2489.33,0
West,Home,Online,15,572.8002738385317,0.18,7193.72,1
East,Home,Partner,1,564.6661366534961,0.117,509.93,0
North,Toys,Online,20,815.5880376259638,0.152,13744.35,1
South,Toys,Partner,7,246.83849745628697,0.094,1602.85,0
East,Grocery,Online,2,304.53198924129185,0.256,469.0,0
West,Electronics,Retail,8,309.71401639578704,0.173,1995.33,0
South,Apparel,Retail,21,59.23519018080736,0.148,1082.23,1
West,Electronics,Online,7,322.1003487576245,0.273,1613.96,0
East,Electronics,Partner,13,862.7972255244866,0.251,8281.08,1
West,Apparel,Online,20,895.5081416686218,0.244,13445.58,1
North,Home,Partner,1,125.24993193780837,0.068,120.13,0
North,Grocery,Online,19,459.73619995369415,0.046,8014.55,1
West,Toys,Retail,7,386.09494552413355,0.207,2131.88,0
South,Toys,Retail,17,489.78482875845236,0.141,7255.35,1
North,Toys,Online,5,552.5307430963301,0.205,2127.86,0
West,Electronics,Partner,4,39.448409617036226,0.228,124.66,0
South,Grocery,Partner,19,828.5525580043143,0.089,14848.42,1
South,Grocery,Retail,20,954.7175102464049,0.085,16899.58,1
